Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR
Sumbawa,Nusa Tenggara Barat,Daging ayam kampung,2022,0.038,2647.11
Dompu,Nusa Tenggara Barat,Daging ayam kampung,2022,0.028,1664.04
Bima,Nusa Tenggara Barat,Daging ayam kampung,2022,0.014,777.21
Sumbawa Barat,Nusa Tenggara Barat,Daging ayam kampung,2022,0.029,1601.51
Lombok Utara,Nusa Tenggara Barat,Daging ayam kampung,2022,0.039,2149.42
Kota Mataram,Nusa Tenggara Barat,Daging ayam kampung,2022,0.018,1121.78
Kota Bima,Nusa Tenggara Barat,Daging ayam kampung,2022,0.02,1562.17
Sumba Barat,Nusa Tenggara Timur,Daging ayam kampung,2022,0.033,2530.9
Sumba Timur,Nusa Tenggara Timur,Daging ayam kampung,2022,0.065,4650.04
Kupang,Nusa Tenggara Timur,Daging ayam kampung,2022,0.056,2419.55
Timor Tengah Selatan,Nusa Tenggara Timur,Daging ayam kampung,2022,0.094,6993.51
Timor Tengah Utara,Nusa Tenggara Timur,Daging ayam kampung,2022,0.031,2083.94
Belu,Nusa Tenggara Timur,Daging ayam kampung,2022,0.023,2034.88
Alor,Nusa Tenggara Timur,Daging ayam kampung,2022,0.023,1791.01
Lembata,Nusa Tenggara Timur,Daging ayam kampung,2022,0.013,441.38
Flores Timur,Nusa Tenggara Timur,Daging ayam kampung,2022,0.018,1220.7
Sikka,Nusa Tenggara Timur,Daging ayam kampung,2022,0.017,1124.66
Ende,Nusa Tenggara Timur,Daging ayam kampung,2022,0.014,1257.99
Ngada,Nusa Tenggara Timur,Daging ayam kampung,2022,0.041,3440.7
Manggarai,Nusa Tenggara Timur,Daging ayam kampung,2022,0.02,1503.47
Rote Ndao,Nusa Tenggara Timur,Daging ayam kampung,2022,0.011,664.75
Manggarai Barat,Nusa Tenggara Timur,Daging ayam kampung,2022,0.025,1618.98
Sumba Tengah,Nusa Tenggara Timur,Daging ayam kampung,2022,0.042,2625.36
Sumba Barat Daya,Nusa Tenggara Timur,Daging ayam kampung,2022,0.051,3630.67
Nagekeo,Nusa Tenggara Timur,Daging ayam kampung,2022,0.083,2779.35
Manggarai Timur,Nusa Tenggara Timur,Daging ayam kampung,2022,0.011,739.25
Sabu Raijua,Nusa Tenggara Timur,Daging ayam kampung,2022,0.096,4890.05
Malaka,Nusa Tenggara Timur,Daging ayam kampung,2022,0.039,2151
Kota Kupang,Nusa Tenggara Timur,Daging ayam kampung,2022,0.014,1015.72
Sambas,Kalimantan Barat,Daging ayam kampung,2022,0.008,332.75
Bengkayang,Kalimantan Barat,Daging ayam kampung,2022,0.04,2064.58
Landak,Kalimantan Barat,Daging ayam kampung,2022,0.035,2156.41
Mempawah,Kalimantan Barat,Daging ayam kampung,2022,0.007,438.63
Sanggau,Kalimantan Barat,Daging ayam kampung,2022,0.022,1142.19
Ketapang,Kalimantan Barat,Daging ayam kampung,2022,0.023,1280.22
Sintang,Kalimantan Barat,Daging ayam kampung,2022,0.032,1893.97
Kapuas Hulu,Kalimantan Barat,Daging ayam kampung,2022,0.033,1504.77
Sekadau,Kalimantan Barat,Daging ayam kampung,2022,0.038,1957.92
Melawi,Kalimantan Barat,Daging ayam kampung,2022,0.008,563.47
Kayong Utara,Kalimantan Barat,Daging ayam kampung,2022,0.027,1197.14
Kubu Raya,Kalimantan Barat,Daging ayam kampung,2022,0.01,333.41
Kota Pontianak,Kalimantan Barat,Daging ayam kampung,2022,0.008,402.31
Kota Singkawang,Kalimantan Barat,Daging ayam kampung,2022,0.016,771.79
Kotawaringin Barat,Kalimantan Tengah,Daging ayam kampung,2022,0.023,1406.4
Kotawaringin Timur,Kalimantan Tengah,Daging ayam kampung,2022,0.016,1103.4
Kapuas,Kalimantan Tengah,Daging ayam kampung,2022,0.02,1148.98
Barito Selatan,Kalimantan Tengah,Daging ayam kampung,2022,0.017,880.57
Barito Utara,Kalimantan Tengah,Daging ayam kampung,2022,0.03,1831.83
Sukamara,Kalimantan Tengah,Daging ayam kampung,2022,0.039,2267.91
Lamandau,Kalimantan Tengah,Daging ayam kampung,2022,0.052,3982.08
Seruyan,Kalimantan Tengah,Daging ayam kampung,2022,0.023,1354.48
Katingan,Kalimantan Tengah,Daging ayam kampung,2022,0.019,1142.66
Pulang Pisau,Kalimantan Tengah,Daging ayam kampung,2022,0.026,1111.22
Gunung Mas,Kalimantan Tengah,Daging ayam kampung,2022,0.018,1505.29
Barito Timur,Kalimantan Tengah,Daging ayam kampung,2022,0.025,1354.82
Murung Raya,Kalimantan Tengah,Daging ayam kampung,2022,0.036,2436.23
Kota Palangka Raya,Kalimantan Tengah,Daging ayam kampung,2022,0.017,1000.02
Tanah Laut,Kalimantan Selatan,Daging ayam kampung,2022,0.016,616.86
Kota Baru,Kalimantan Selatan,Daging ayam kampung,2022,0.012,645.92
Banjar,Kalimantan Selatan,Daging ayam kampung,2022,0.01,452.67
Barito Kuala,Kalimantan Selatan,Daging ayam kampung,2022,0.006,290.54
Tapin,Kalimantan Selatan,Daging ayam kampung,2022,0.01,449.29
Hulu Sungai Selatan,Kalimantan Selatan,Daging ayam kampung,2022,0.005,259.08
Hulu Sungai Tengah,Kalimantan Selatan,Daging ayam kampung,2022,0.003,118.45
Hulu Sungai Utara,Kalimantan Selatan,Daging ayam kampung,2022,0.007,289.74
Tabalong,Kalimantan Selatan,Daging ayam kampung,2022,0.023,967.43
Tanah Bumbu,Kalimantan Selatan,Daging ayam kampung,2022,0.021,910.15
Balangan,Kalimantan Selatan,Daging ayam kampung,2022,0.006,251.03
Kota Banjarmasin,Kalimantan Selatan,Daging ayam kampung,2022,0.003,260.93
Kota Banjar Baru,Kalimantan Selatan,Daging ayam kampung,2022,0.007,374.31
Paser,Kalimantan Timur,Daging ayam kampung,2022,0.024,1169.35
Kutai Barat,Kalimantan Timur,Daging ayam kampung,2022,0.021,1207.02
Kutai Kartanegara,Kalimantan Timur,Daging ayam kampung,2022,0.011,567.95
Kutai Timur,Kalimantan Timur,Daging ayam kampung,2022,0.016,1036.08
Berau,Kalimantan Timur,Daging ayam kampung,2022,0.018,1077.76
Penajam Paser Utara,Kalimantan Timur,Daging ayam kampung,2022,0.008,373.42
Mahakam Ulu,Kalimantan Timur,Daging ayam kampung,2022,0.035,2655.77
Kota Balikpapan,Kalimantan Timur,Daging ayam kampung,2022,0.008,727.46
Kota Samarinda,Kalimantan Timur,Daging ayam kampung,2022,0.005,319.68
Kota Bontang,Kalimantan Timur,Daging ayam kampung,2022,0.004,220.98
Malinau,Kalimantan Utara,Daging ayam kampung,2022,0.024,1650.89
Bulungan,Kalimantan Utara,Daging ayam kampung,2022,0.012,682.64
Tana Tidung,Kalimantan Utara,Daging ayam kampung,2022,0.009,534.01
Nunukan,Kalimantan Utara,Daging ayam kampung,2022,0.048,2293.52
Kota Tarakan,Kalimantan Utara,Daging ayam kampung,2022,0.002,125.45
Bolaang Mongondow,Sulawesi Utara,Daging ayam kampung,2022,0.03,1567.26
Minahasa,Sulawesi Utara,Daging ayam kampung,2022,0.012,589.84
Kepulauan Sangihe,Sulawesi Utara,Daging ayam kampung,2022,0.013,815.01
Kepulauan Talaud,Sulawesi Utara,Daging ayam kampung,2022,0.007,517.27
Minahasa Selatan,Sulawesi Utara,Daging ayam kampung,2022,0.017,843.47
Minahasa Utara,Sulawesi Utara,Daging ayam kampung,2022,0.04,1820.55
Bolaang Mongondow Utara,Sulawesi Utara,Daging ayam kampung,2022,0.029,1054.3
Siau Tagulandang Biaro,Sulawesi Utara,Daging ayam kampung,2022,0.019,1031.17
Minahasa Tenggara,Sulawesi Utara,Daging ayam kampung,2022,0.022,1298.45
Bolaang Mongondow Selatan,Sulawesi Utara,Daging ayam kampung,2022,0.023,1092.15
Bolaang Mongondow Timur,Sulawesi Utara,Daging ayam kampung,2022,0.047,2028.08
Kota Manado,Sulawesi Utara,Daging ayam kampung,2022,0.007,377.72
Kota Bitung,Sulawesi Utara,Daging ayam kampung,2022,0.004,219.53
Kota Tomohon,Sulawesi Utara,Daging ayam kampung,2022,0.01,515.83
Kota Kotamobagu,Sulawesi Utara,Daging ayam kampung,2022,0.025,1196.83
Banggai Kepulauan,Sulawesi Tengah,Daging ayam kampung,2022,0.009,674.99
Banggai,Sulawesi Tengah,Daging ayam kampung,2022,0.014,860.34
Morowali,Sulawesi Tengah,Daging ayam kampung,2022,0.021,1272
Poso,Sulawesi Tengah,Daging ayam kampung,2022,0.025,1397.43
Donggala,Sulawesi Tengah,Daging ayam kampung,2022,0.015,609.8
Toli-Toli,Sulawesi Tengah,Daging ayam kampung,2022,0.008,425.39
Buol,Sulawesi Tengah,Daging ayam kampung,2022,0.014,762.28
Parigi Moutong,Sulawesi Tengah,Daging ayam kampung,2022,0.028,1197.84
Tojo Una-Una,Sulawesi Tengah,Daging ayam kampung,2022,0.017,749.11
Sigi,Sulawesi Tengah,Daging ayam kampung,2022,0.014,645.2
Banggai Laut,Sulawesi Tengah,Daging ayam kampung,2022,0.012,801.3
Morowali Utara,Sulawesi Tengah,Daging ayam kampung,2022,0.038,2451
Kota Palu,Sulawesi Tengah,Daging ayam kampung,2022,0.013,586.05
Kepulauan Selayar,Sulawesi Selatan,Daging ayam kampung,2022,0.008,430.99
Bulukumba,Sulawesi Selatan,Daging ayam kampung,2022,0.019,1101.7
Bantaeng,Sulawesi Selatan,Daging ayam kampung,2022,0.013,932.47
Jeneponto,Sulawesi Selatan,Daging ayam kampung,2022,0.03,1320.37
Takalar,Sulawesi Selatan,Daging ayam kampung,2022,0.02,949.02
Gowa,Sulawesi Selatan,Daging ayam kampung,2022,0.008,326.48
Sinjai,Sulawesi Selatan,Daging ayam kampung,2022,0.011,537.59
Maros,Sulawesi Selatan,Daging ayam kampung,2022,0.007,357.39
Pangkajene dan Kepulauan,Sulawesi Selatan,Daging ayam kampung,2022,0.017,581.21
Barru,Sulawesi Selatan,Daging ayam kampung,2022,0.028,1054.1
Bone,Sulawesi Selatan,Daging ayam kampung,2022,0.016,530.91
Soppeng,Sulawesi Selatan,Daging ayam kampung,2022,0.012,507.69
Wajo,Sulawesi Selatan,Daging ayam kampung,2022,0.001,29.73
Sidenreng Rappang,Sulawesi Selatan,Daging ayam kampung,2022,0.008,296.39
Pinrang,Sulawesi Selatan,Daging ayam kampung,2022,0.004,164.4
Enrekang,Sulawesi Selatan,Daging ayam kampung,2022,0.011,619.86
Luwu,Sulawesi Selatan,Daging ayam kampung,2022,0.021,770.88
Tana Toraja,Sulawesi Selatan,Daging ayam kampung,2022,0.034,1699.78
Luwu Utara,Sulawesi Selatan,Daging ayam kampung,2022,0.015,683.42
Luwu Timur,Sulawesi Selatan,Daging ayam kampung,2022,0.026,1235.39
Toraja Utara,Sulawesi Selatan,Daging ayam kampung,2022,0.028,1626.2
Kota Makasar,Sulawesi Selatan,Daging ayam kampung,2022,0.013,620.62
Kota Parepare,Sulawesi Selatan,Daging ayam kampung,2022,0.003,181.55
Kota Palopo,Sulawesi Selatan,Daging ayam kampung,2022,0.01,647.84
Buton,Sulawesi Tenggara,Daging ayam kampung,2022,0.013,693.66
Muna,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,379.03
Konawe,Sulawesi Tenggara,Daging ayam kampung,2022,0.016,737.15
Kolaka,Sulawesi Tenggara,Daging ayam kampung,2022,0.013,545.69
Konawe Selatan,Sulawesi Tenggara,Daging ayam kampung,2022,0.022,1005.06
Bombana,Sulawesi Tenggara,Daging ayam kampung,2022,0.012,519.33
Wakatobi,Sulawesi Tenggara,Daging ayam kampung,2022,0.019,1549.66
Kolaka Utara,Sulawesi Tenggara,Daging ayam kampung,2022,0.024,878.97
Buton Utara,Sulawesi Tenggara,Daging ayam kampung,2022,0.009,657.39
Konawe Utara,Sulawesi Tenggara,Daging ayam kampung,2022,0.014,829.54
Kolaka Timur,Sulawesi Tenggara,Daging ayam kampung,2022,0.005,223.99
Konawe Kepulauan,Sulawesi Tenggara,Daging ayam kampung,2022,0.029,1323.87
Muna Barat,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,409.31
Buton Tengah,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,618.3
Buton Selatan,Sulawesi Tenggara,Daging ayam kampung,2022,0.004,243.69
Kota Kendari,Sulawesi Tenggara,Daging ayam kampung,2022,0.009,651.24
Kota Baubau,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,620.09
Boalemo,Gorontalo,Daging ayam kampung,2022,0.045,1580.87
Gorontalo,Gorontalo,Daging ayam kampung,2022,0.022,1069.67
Pohuwato,Gorontalo,Daging ayam kampung,2022,0.021,846.5
Bone Bolango,Gorontalo,Daging ayam kampung,2022,0.019,837.13
Gorontalo Utara,Gorontalo,Daging ayam kampung,2022,0.025,895.66
Kota Gorontalo,Gorontalo,Daging ayam kampung,2022,0.017,951.87
Majene,Sulawesi Barat,Daging ayam kampung,2022,0.012,370.8
Polewali Mandar,Sulawesi Barat,Daging ayam kampung,2022,0.007,330.55
Mamasa,Sulawesi Barat,Daging ayam kampung,2022,0.024,1155.73
Mamuju,Sulawesi Barat,Daging ayam kampung,2022,0.011,492.39
Mamuju Utara,Sulawesi Barat,Daging ayam kampung,2022,0.013,603.06
Mamuju Tengah,Sulawesi Barat,Daging ayam kampung,2022,0.02,946.27
Maluku Tenggara Barat,Maluku,Daging ayam kampung,2022,0.002,105.04
Maluku Tenggara,Maluku,Daging ayam kampung,2022,0.011,900.23
Maluku Tengah,Maluku,Daging ayam kampung,2022,0.011,670.93
Buru,Maluku,Daging ayam kampung,2022,0.015,814.43
Kepulauan Aru,Maluku,Daging ayam kampung,2022,0.002,131.76
Seram Bagian Barat,Maluku,Daging ayam kampung,2022,0.004,244.21
Seram Bagian Timur,Maluku,Daging ayam kampung,2022,0.005,357.82
Maluku Barat Daya,Maluku,Daging ayam kampung,2022,0.012,1141.66
Buru Selatan,Maluku,Daging ayam kampung,2022,0.006,344.36
Kota Ambon,Maluku,Daging ayam kampung,2022,0.005,275.18
Kota Tual,Maluku,Daging ayam kampung,2022,0.004,410.76
Halmahera Barat,Maluku Utara,Daging ayam kampung,2022,0.01,607.02
Halmahera Tengah,Maluku Utara,Daging ayam kampung,2022,0.006,385.36
Kepulauan Sula,Maluku Utara,Daging ayam kampung,2022,0.006,404.65
Halmahera Selatan,Maluku Utara,Daging ayam kampung,2022,0.006,408.25
Halmahera Utara,Maluku Utara,Daging ayam kampung,2022,0.025,1863.31
Halmahera Timur,Maluku Utara,Daging ayam kampung,2022,0.011,776.59
Pulau Morotai,Maluku Utara,Daging ayam kampung,2022,0.013,1076.21
Pulau Taliabu,Maluku Utara,Daging ayam kampung,2022,0.013,840.52
Kota Ternate,Maluku Utara,Daging ayam kampung,2022,0.007,425.04
Kota Tidore Kepulauan,Maluku Utara,Daging ayam kampung,2022,0.006,355.39
Fakfak,Papua Barat,Daging ayam kampung,2022,0.009,587.95
Kaimana,Papua Barat,Daging ayam kampung,2022,0.011,562.18
Teluk Wondama,Papua Barat,Daging ayam kampung,2022,0.015,1088.57
Teluk Bintuni,Papua Barat,Daging ayam kampung,2022,0.013,1260.24
Manokwari,Papua Barat,Daging ayam kampung,2022,0.02,2344.38
Manokwari Selatan,Papua Barat,Daging ayam kampung,2022,0.016,1183.94
Pegunungan Arfak,Papua Barat,Daging ayam kampung,2022,0.028,2199.37
Raja Ampat,Papua Barat,Daging ayam kampung,2022,0.008,730.41
Sorong,Papua Barat,Daging ayam kampung,2022,0.013,959.33
Sorong Selatan,Papua Barat,Daging ayam kampung,2022,0.003,248.5
Maybrat,Papua Barat,Daging ayam kampung,2022,0.016,1152.54
Tambrauw,Papua Barat,Daging ayam kampung,2022,0.003,153.35
Kota Sorong,Papua Barat,Daging ayam kampung,2022,0.004,460.19
Jayapura,Papua,Daging ayam kampung,2022,0.003,363.99
Kepulauan Yapen,Papua,Daging ayam kampung,2022,0.006,234.02
Biak Numfor,Papua,Daging ayam kampung,2022,0.004,210.15
Sarmi,Papua,Daging ayam kampung,2022,0.003,206.57
Keerom,Papua,Daging ayam kampung,2022,0.011,614.85
Waropen,Papua,Daging ayam kampung,2022,0.007,501.52
Supiori,Papua,Daging ayam kampung,2022,0.007,380.06
Mamberamo Raya,Papua,Daging ayam kampung,2022,0.038,1650.94
Kota Jayapura,Papua,Daging ayam kampung,2022,0.006,514.47
Merauke,Papua,Daging ayam kampung,2022,0.038,2676.74
Boven Digoel,Papua,Daging ayam kampung,2022,0.004,431.69
Mappi,Papua,Daging ayam kampung,2022,0.006,493.18
Asmat,Papua,Daging ayam kampung,2022,0.008,808.9
Mimika,Papua,Daging ayam kampung,2022,0.005,372.66
Dogiyai,Papua,Daging ayam kampung,2022,0.055,2001.8
Deiyai,Papua,Daging ayam kampung,2022,,
Nabire,Papua,Daging ayam kampung,2022,0.012,968.06
Paniai,Papua,Daging ayam kampung,2022,0.006,292.03
Intan Jaya,Papua,Daging ayam kampung,2022,0.001,85.94
Puncak,Papua,Daging ayam kampung,2022,,
Puncak Jaya,Papua,Daging ayam kampung,2022,0.103,16209.18
Nduga,Papua,Daging ayam kampung,2022,0.02,5977.28
Jayawijaya,Papua,Daging ayam kampung,2022,0.018,1618.65
Lanny Jaya,Papua,Daging ayam kampung,2022,0.01,968.79
Tolikara,Papua,Daging ayam kampung,2022,0.034,4272.43
Mamberamo Tengah,Papua,Daging ayam kampung,2022,0.011,1783.45
Yalimo,Papua,Daging ayam kampung,2022,0.059,8110.74
Yahukimo,Papua,Daging ayam kampung,2022,0.052,4667.53
Pegunungan Bintang,Papua,Daging ayam kampung,2022,0.043,3674.88
Simeulue,Aceh,Daging sapi,2023,0.001,222.01
Aceh Singkil,Aceh,Daging sapi,2023,,32.23
Aceh Selatan,Aceh,Daging sapi,2023,0.001,127.37
Aceh Tenggara,Aceh,Daging sapi,2023,0.007,1026.07
Aceh Timur,Aceh,Daging sapi,2023,0.002,317.78
Aceh Tengah,Aceh,Daging sapi,2023,0.006,993.58
Aceh Barat,Aceh,Daging sapi,2023,0.005,723.53
Aceh Besar,Aceh,Daging sapi,2023,0.004,604.03
Pidie,Aceh,Daging sapi,2023,0.003,422.81
Bireuen,Aceh,Daging sapi,2023,0.005,836.36
Aceh Utara,Aceh,Daging sapi,2023,0.008,1136.6
Aceh Barat Daya,Aceh,Daging sapi,2023,0.001,202.32
Gayo Lues,Aceh,Daging sapi,2023,0.014,2208.76
Aceh Tamiang,Aceh,Daging sapi,2023,0.006,758.57
Nagan Raya,Aceh,Daging sapi,2023,0.06,9583.09
Aceh Jaya,Aceh,Daging sapi,2023,0.003,452.37
Bener Meriah,Aceh,Daging sapi,2023,0.001,163.24
Pidie Jaya,Aceh,Daging sapi,2023,0.002,406.67
Kota Banda Aceh,Aceh,Daging sapi,2023,0.017,2653.62
Kota Sabang,Aceh,Daging sapi,2023,0.004,866.31
Kota Langsa,Aceh,Daging sapi,2023,0.004,562.69
Kota Lhokseumawe,Aceh,Daging sapi,2023,0.001,187.73
Kota Subulussalam,Aceh,Daging sapi,2023,0.001,91.37
Nias,Sumatera Utara,Daging sapi,2023,,19.57
Mandailing Natal,Sumatera Utara,Daging sapi,2023,0.002,244.36
Tapanuli Selatan,Sumatera Utara,Daging sapi,2023,0.001,156.18
Tapanuli Tengah,Sumatera Utara,Daging sapi,2023,,34.08
Tapanuli Utara,Sumatera Utara,Daging sapi,2023,,40.2
Toba Samosir,Sumatera Utara,Daging sapi,2023,0.002,163.15
Labuhan Batu,Sumatera Utara,Daging sapi,2023,0.004,494.27
Asahan,Sumatera Utara,Daging sapi,2023,0.002,221.18
Simalungun,Sumatera Utara,Daging sapi,2023,0.001,87.99
Dairi,Sumatera Utara,Daging sapi,2023,0.002,310.32
Karo,Sumatera Utara,Daging sapi,2023,0.004,525.07
Deli Serdang,Sumatera Utara,Daging sapi,2023,0.004,629.76
Langkat,Sumatera Utara,Daging sapi,2023,0.007,802.7
Nias Selatan,Sumatera Utara,Daging sapi,2023,,
Humbang Hasundutan,Sumatera Utara,Daging sapi,2023,,19.57
Pakpak Bharat,Sumatera Utara,Daging sapi,2023,0.001,82.85
Samosir,Sumatera Utara,Daging sapi,2023,0.001,88.83
Serdang Bedagai,Sumatera Utara,Daging sapi,2023,0.005,618.97
Batu Bara,Sumatera Utara,Daging sapi,2023,0.003,384.46
Padang Lawas Utara,Sumatera Utara,Daging sapi,2023,0.004,441.18
Padang Lawas,Sumatera Utara,Daging sapi,2023,0.003,409.75
Labuhan Batu Selatan,Sumatera Utara,Daging sapi,2023,0.002,318.25
Labuhan Batu Utara,Sumatera Utara,Daging sapi,2023,0.002,242.26
Nias Utara,Sumatera Utara,Daging sapi,2023,,
Nias Barat,Sumatera Utara,Daging sapi,2023,,
Kota Sibolga,Sumatera Utara,Daging sapi,2023,,7.02
Kota Tanjung Balai,Sumatera Utara,Daging sapi,2023,0.002,240.53
Kota Pematang Siantar,Sumatera Utara,Daging sapi,2023,0.005,718.52
Kota Tebing Tinggi,Sumatera Utara,Daging sapi,2023,0.003,473.61
Kota Medan,Sumatera Utara,Daging sapi,2023,0.01,1451.56
Kota Binjai,Sumatera Utara,Daging sapi,2023,0.007,1012.14
Kota Padangsidimpuan,Sumatera Utara,Daging sapi,2023,0.008,947.95
Kota Gunungsitoli,Sumatera Utara,Daging sapi,2023,,
Kepulauan Mentawai,Sumatera Barat,Daging sapi,2023,0.001,77.04
Pesisir Selatan,Sumatera Barat,Daging sapi,2023,0.001,107.79
Solok,Sumatera Barat,Daging sapi,2023,0.007,994.65
Sijunjung,Sumatera Barat,Daging sapi,2023,0.007,973.77
Tanah Datar,Sumatera Barat,Daging sapi,2023,0.015,2075.67
Padang Pariaman,Sumatera Barat,Daging sapi,2023,0.011,1549.37
Agam,Sumatera Barat,Daging sapi,2023,0.011,1628.44
Lima Puluh Kota,Sumatera Barat,Daging sapi,2023,0.006,787.66
Pasaman,Sumatera Barat,Daging sapi,2023,0.004,571.34
Solok Selatan,Sumatera Barat,Daging sapi,2023,0.004,586.55
Dharmasraya,Sumatera Barat,Daging sapi,2023,0.007,1021.31
Pasaman Barat,Sumatera Barat,Daging sapi,2023,0.001,110.43
Kota Padang,Sumatera Barat,Daging sapi,2023,0.01,1513.68
Kota Solok,Sumatera Barat,Daging sapi,2023,0.019,2572.09
Kota Sawah Lunto,Sumatera Barat,Daging sapi,2023,0.019,2636.02
Kota Padang Panjang,Sumatera Barat,Daging sapi,2023,0.029,4317.98
Kota Bukittinggi,Sumatera Barat,Daging sapi,2023,0.021,3101.33
Kota Payakumbuh,Sumatera Barat,Daging sapi,2023,0.016,2223.19
Kota Pariaman,Sumatera Barat,Daging sapi,2023,0.007,971.29
Kuantan Singingi,Riau,Daging sapi,2023,0.002,311.36
Indragiri Hulu,Riau,Daging sapi,2023,0.005,829.16
Indragiri Hilir,Riau,Daging sapi,2023,0.001,163.06
Pelalawan,Riau,Daging sapi,2023,0.002,334.53
Siak,Riau,Daging sapi,2023,0.006,769.95
Kampar,Riau,Daging sapi,2023,0.007,971.35
Rokan Hulu,Riau,Daging sapi,2023,0.006,921.96
Bengkalis,Riau,Daging sapi,2023,0.007,1066.18
Rokan Hilir,Riau,Daging sapi,2023,0.002,246.99
Kepulauan Meranti,Riau,Daging sapi,2023,0.003,392.28
Kota Pekanbaru,Riau,Daging sapi,2023,0.012,1967.2
Kota Dumai,Riau,Daging sapi,2023,0.004,678.95
Kerinci,Jambi,Daging sapi,2023,0.016,2633.18
Merangin,Jambi,Daging sapi,2023,0.003,479.39
Sarolangun,Jambi,Daging sapi,2023,0.005,736.37
Batang Hari,Jambi,Daging sapi,2023,0.01,1455.05
Muaro Jambi,Jambi,Daging sapi,2023,0.008,1059.39
Tanjung Jabung Timur,Jambi,Daging sapi,2023,0.001,138.74
Tanjung Jabung Barat,Jambi,Daging sapi,2023,0.003,467.1
Tebo,Jambi,Daging sapi,2023,0.003,405.35
Bungo,Jambi,Daging sapi,2023,0.003,460.49
Kota Jambi,Jambi,Daging sapi,2023,0.007,1131.19
Kota Sungai Penuh,Jambi,Daging sapi,2023,0.02,2696.91
Ogan Komering Ulu,Sumatera Selatan,Daging sapi,2023,0.006,814.77
Ogan Komering Ilir,Sumatera Selatan,Daging sapi,2023,0.001,90.84
Muara Enim,Sumatera Selatan,Daging sapi,2023,0.003,384.63
Lahat,Sumatera Selatan,Daging sapi,2023,0.008,1103.44
Musi Rawas,Sumatera Selatan,Daging sapi,2023,0.004,535.52
Musi Banyuasin,Sumatera Selatan,Daging sapi,2023,0.006,625.83
Banyu Asin,Sumatera Selatan,Daging sapi,2023,0.006,737.92
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging sapi,2023,0.002,268.97
Ogan Komering Ulu Timur,Sumatera Selatan,Daging sapi,2023,0.002,239.58
Ogan Ilir,Sumatera Selatan,Daging sapi,2023,0.001,197.07
Empat Lawang,Sumatera Selatan,Daging sapi,2023,0.007,916.59
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging sapi,2023,0.004,573.03
Musi Rawas Utara,Sumatera Selatan,Daging sapi,2023,0.008,1283.91
Kota Palembang,Sumatera Selatan,Daging sapi,2023,0.011,1625.95
Kota Prabumulih,Sumatera Selatan,Daging sapi,2023,0.008,1088.73
Kota Pagar Alam,Sumatera Selatan,Daging sapi,2023,0.007,819.44
Kota Lubuklinggau,Sumatera Selatan,Daging sapi,2023,0.009,1190.51
Bengkulu Selatan,Bengkulu,Daging sapi,2023,0.004,475.34
Rejang Lebong,Bengkulu,Daging sapi,2023,0.003,496.71
Bengkulu Utara,Bengkulu,Daging sapi,2023,0.005,748.23
Kaur,Bengkulu,Daging sapi,2023,0.012,1553.01
Seluma,Bengkulu,Daging sapi,2023,0.003,338.48
Mukomuko,Bengkulu,Daging sapi,2023,0.001,159.58
Lebong,Bengkulu,Daging sapi,2023,0.006,768.89
Kepahiang,Bengkulu,Daging sapi,2023,0.003,345.86
Bengkulu Tengah,Bengkulu,Daging sapi,2023,0.003,378.24
Kota Bengkulu,Bengkulu,Daging sapi,2023,0.007,986.67
Lampung Barat,Lampung,Daging sapi,2023,0.002,269.8
Tanggamus,Lampung,Daging sapi,2023,0.001,207.88
Lampung Selatan,Lampung,Daging sapi,2023,0.002,322.28
Lampung Timur,Lampung,Daging sapi,2023,0.001,89.11
Lampung Tengah,Lampung,Daging sapi,2023,0.001,121.59
Lampung Utara,Lampung,Daging sapi,2023,0.001,200.53
Way Kanan,Lampung,Daging sapi,2023,0.005,673.35
Tulangbawang,Lampung,Daging sapi,2023,0.001,98.96
Pesawaran,Lampung,Daging sapi,2023,0.002,290.13
Pringsewu,Lampung,Daging sapi,2023,0.002,346.6
Mesuji,Lampung,Daging sapi,2023,,35.95
Tulang Bawang Barat,Lampung,Daging sapi,2023,0.001,149.17
Pesisir Barat,Lampung,Daging sapi,2023,0.004,489.42
Kota Bandar Lampung,Lampung,Daging sapi,2023,0.008,1229.09
Kota Metro,Lampung,Daging sapi,2023,0.003,385.3
Bangka,Bangka Belitung,Daging sapi,2023,0.011,1634.65
Belitung,Bangka Belitung,Daging sapi,2023,0.007,1033.28
Bangka Barat,Bangka Belitung,Daging sapi,2023,0.014,2045.93
Bangka Tengah,Bangka Belitung,Daging sapi,2023,0.016,2189.84
Bangka Selatan,Bangka Belitung,Daging sapi,2023,0.013,1899.12
Belitung Timur,Bangka Belitung,Daging sapi,2023,0.007,1044.74
Kota Pangkal Pinang,Bangka Belitung,Daging sapi,2023,0.025,3475.98
Karimun,Kepulauan Riau,Daging sapi,2023,0.008,818.65
Bintan,Kepulauan Riau,Daging sapi,2023,0.008,775.1
Natuna,Kepulauan Riau,Daging sapi,2023,0.007,886.39
