Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR,Kategori_Konsumsi,Kategori_Pengeluaran
Barito Timur,Kalimantan Tengah,Daging sapi,2021,0.004,578.88,Low,Low
Murung Raya,Kalimantan Tengah,Daging sapi,2021,0.001,162.09,Low,Low
Kota Palangka Raya,Kalimantan Tengah,Daging sapi,2021,0.012,1467.54,Medium,Medium
Tanah Laut,Kalimantan Selatan,Daging sapi,2021,0.005,613.74,Low,Low
Kota Baru,Kalimantan Selatan,Daging sapi,2021,0.002,311.65,Low,Low
Banjar,Kalimantan Selatan,Daging sapi,2021,0.002,269.52,Low,Low
Barito Kuala,Kalimantan Selatan,Daging sapi,2021,0.002,228.81,Low,Low
Tapin,Kalimantan Selatan,Daging sapi,2021,0.006,779.4,Low,Medium
Hulu Sungai Selatan,Kalimantan Selatan,Daging sapi,2021,0.001,70.95,Low,Low
Hulu Sungai Tengah,Kalimantan Selatan,Daging sapi,2021,0.001,82.27,Low,Low
Hulu Sungai Utara,Kalimantan Selatan,Daging sapi,2021,0.001,140.5,Low,Low
Tabalong,Kalimantan Selatan,Daging sapi,2021,0.008,1096.12,Low,Medium
Tanah Bumbu,Kalimantan Selatan,Daging sapi,2021,0.003,441.34,Low,Low
Balangan,Kalimantan Selatan,Daging sapi,2021,0.003,338.1,Low,Low
Kota Banjarmasin,Kalimantan Selatan,Daging sapi,2021,0.01,1355.66,Medium,Medium
Kota Banjar Baru,Kalimantan Selatan,Daging sapi,2021,0.013,1816.67,Medium,Medium
Paser,Kalimantan Timur,Daging sapi,2021,0.012,1322.18,Medium,Medium
Kutai Barat,Kalimantan Timur,Daging sapi,2021,0.006,794.91,Low,Medium
Kutai Kartanegara,Kalimantan Timur,Daging sapi,2021,0.005,611.25,Low,Low
Kutai Timur,Kalimantan Timur,Daging sapi,2021,0.008,939.79,Low,Medium
Berau,Kalimantan Timur,Daging sapi,2021,0.008,1059.65,Low,Medium
Penajam Paser Utara,Kalimantan Timur,Daging sapi,2021,0.004,494.08,Low,Low
Mahakam Ulu,Kalimantan Timur,Daging sapi,2021,0.001,167.91,Low,Low
Kota Balikpapan,Kalimantan Timur,Daging sapi,2021,0.017,2177.28,Medium,High
Kota Samarinda,Kalimantan Timur,Daging sapi,2021,0.01,1143.31,Medium,Medium
Kota Bontang,Kalimantan Timur,Daging sapi,2021,0.014,1725.67,Medium,Medium
Malinau,Kalimantan Utara,Daging sapi,2021,0.004,416.44,Low,Low
Bulungan,Kalimantan Utara,Daging sapi,2021,0.004,463.23,Low,Low
Tana Tidung,Kalimantan Utara,Daging sapi,2021,0.007,811.84,Low,Medium
Nunukan,Kalimantan Utara,Daging sapi,2021,0.004,301.29,Low,Low
Kota Tarakan,Kalimantan Utara,Daging sapi,2021,0.005,557.76,Low,Low
Bolaang Mongondow,Sulawesi Utara,Daging sapi,2021,0.003,350.74,Low,Low
Minahasa,Sulawesi Utara,Daging sapi,2021,0.002,258.45,Low,Low
Kepulauan Sangihe,Sulawesi Utara,Daging sapi,2021,,,Unknown,Unknown
Kepulauan Talaud,Sulawesi Utara,Daging sapi,2021,,38.76,Unknown,Low
Minahasa Selatan,Sulawesi Utara,Daging sapi,2021,,15.92,Unknown,Low
Minahasa Utara,Sulawesi Utara,Daging sapi,2021,0.001,56.16,Low,Low
Bolaang Mongondow Utara,Sulawesi Utara,Daging sapi,2021,0.014,1327.13,Medium,Medium
Siau Tagulandang Biaro,Sulawesi Utara,Daging sapi,2021,,,Unknown,Unknown
Minahasa Tenggara,Sulawesi Utara,Daging sapi,2021,0.002,171.16,Low,Low
Bolaang Mongondow Selatan,Sulawesi Utara,Daging sapi,2021,0.002,184.18,Low,Low
Bolaang Mongondow Timur,Sulawesi Utara,Daging sapi,2021,0.004,445.27,Low,Low
Kota Manado,Sulawesi Utara,Daging sapi,2021,0.003,306.57,Low,Low
Kota Bitung,Sulawesi Utara,Daging sapi,2021,,34.69,Unknown,Low
Kota Tomohon,Sulawesi Utara,Daging sapi,2021,0.001,132.54,Low,Low
Kota Kotamobagu,Sulawesi Utara,Daging sapi,2021,0.003,380.97,Low,Low
Banggai Kepulauan,Sulawesi Tengah,Daging sapi,2021,0.004,504.28,Low,Low
Banggai,Sulawesi Tengah,Daging sapi,2021,0.001,116.93,Low,Low
Morowali,Sulawesi Tengah,Daging sapi,2021,0.002,220.74,Low,Low
Poso,Sulawesi Tengah,Daging sapi,2021,0.003,306.19,Low,Low
Donggala,Sulawesi Tengah,Daging sapi,2021,0.002,160.19,Low,Low
Toli-Toli,Sulawesi Tengah,Daging sapi,2021,,33.15,Unknown,Low
Buol,Sulawesi Tengah,Daging sapi,2021,0.004,390.68,Low,Low
Parigi Moutong,Sulawesi Tengah,Daging sapi,2021,0.002,239.91,Low,Low
Tojo Una-Una,Sulawesi Tengah,Daging sapi,2021,0.002,233.14,Low,Low
Sigi,Sulawesi Tengah,Daging sapi,2021,0.002,264.85,Low,Low
Banggai Laut,Sulawesi Tengah,Daging sapi,2021,0.001,171.14,Low,Low
Morowali Utara,Sulawesi Tengah,Daging sapi,2021,0.003,314.15,Low,Low
Kota Palu,Sulawesi Tengah,Daging sapi,2021,0.006,656.61,Low,Medium
Kepulauan Selayar,Sulawesi Selatan,Daging sapi,2021,0.001,67.02,Low,Low
Bulukumba,Sulawesi Selatan,Daging sapi,2021,0.003,357.73,Low,Low
Bantaeng,Sulawesi Selatan,Daging sapi,2021,0.001,105.52,Low,Low
Jeneponto,Sulawesi Selatan,Daging sapi,2021,,49.38,Unknown,Low
Takalar,Sulawesi Selatan,Daging sapi,2021,0.002,236.86,Low,Low
Gowa,Sulawesi Selatan,Daging sapi,2021,0.002,183.85,Low,Low
Sinjai,Sulawesi Selatan,Daging sapi,2021,0.006,701.4,Low,Medium
Maros,Sulawesi Selatan,Daging sapi,2021,0.002,217.93,Low,Low
Pangkajene dan Kepulauan,Sulawesi Selatan,Daging sapi,2021,0.002,173.83,Low,Low
Barru,Sulawesi Selatan,Daging sapi,2021,0.002,251.6,Low,Low
Bone,Sulawesi Selatan,Daging sapi,2021,0.001,138.97,Low,Low
Soppeng,Sulawesi Selatan,Daging sapi,2021,0.004,470.15,Low,Low
Wajo,Sulawesi Selatan,Daging sapi,2021,0.001,162.9,Low,Low
Sidenreng Rappang,Sulawesi Selatan,Daging sapi,2021,0.006,419.21,Low,Low
Pinrang,Sulawesi Selatan,Daging sapi,2021,0.002,176.28,Low,Low
Enrekang,Sulawesi Selatan,Daging sapi,2021,0.004,393.15,Low,Low
Luwu,Sulawesi Selatan,Daging sapi,2021,0.005,582.48,Low,Low
Tana Toraja,Sulawesi Selatan,Daging sapi,2021,0.005,554.96,Low,Low
Luwu Utara,Sulawesi Selatan,Daging sapi,2021,0.004,424.1,Low,Low
Luwu Timur,Sulawesi Selatan,Daging sapi,2021,0.007,750.38,Low,Medium
Toraja Utara,Sulawesi Selatan,Daging sapi,2021,,18.79,Unknown,Low
Kota Makasar,Sulawesi Selatan,Daging sapi,2021,0.01,1075.32,Medium,Medium
Kota Parepare,Sulawesi Selatan,Daging sapi,2021,0.004,471.88,Low,Low
Kota Palopo,Sulawesi Selatan,Daging sapi,2021,0.003,309.64,Low,Low
Buton,Sulawesi Tenggara,Daging sapi,2021,0.001,103.43,Low,Low
Muna,Sulawesi Tenggara,Daging sapi,2021,,23.97,Unknown,Low
Konawe,Sulawesi Tenggara,Daging sapi,2021,0.01,1253.89,Medium,Medium
Kolaka,Sulawesi Tenggara,Daging sapi,2021,0.009,1109,Medium,Medium
Konawe Selatan,Sulawesi Tenggara,Daging sapi,2021,0.001,125.31,Low,Low
Bombana,Sulawesi Tenggara,Daging sapi,2021,0.002,286.98,Low,Low
Wakatobi,Sulawesi Tenggara,Daging sapi,2021,,,Unknown,Unknown
Kolaka Utara,Sulawesi Tenggara,Daging sapi,2021,0.001,165.54,Low,Low
Buton Utara,Sulawesi Tenggara,Daging sapi,2021,,29.26,Unknown,Low
Konawe Utara,Sulawesi Tenggara,Daging sapi,2021,0.005,559.58,Low,Low
Kolaka Timur,Sulawesi Tenggara,Daging sapi,2021,0.002,280.19,Low,Low
Konawe Kepulauan,Sulawesi Tenggara,Daging sapi,2021,0.001,151.95,Low,Low
Muna Barat,Sulawesi Tenggara,Daging sapi,2021,0.001,129.9,Low,Low
Buton Tengah,Sulawesi Tenggara,Daging sapi,2021,,9.94,Unknown,Low
Buton Selatan,Sulawesi Tenggara,Daging sapi,2021,,,Unknown,Unknown
Kota Kendari,Sulawesi Tenggara,Daging sapi,2021,0.005,663.29,Low,Medium
Kota Baubau,Sulawesi Tenggara,Daging sapi,2021,0.001,87.73,Low,Low
Boalemo,Gorontalo,Daging sapi,2021,0.005,598.57,Low,Low
Gorontalo,Gorontalo,Daging sapi,2021,0.008,887.7,Low,Medium
Pohuwato,Gorontalo,Daging sapi,2021,0.006,801.92,Low,Medium
Bone Bolango,Gorontalo,Daging sapi,2021,0.004,477.74,Low,Low
Gorontalo Utara,Gorontalo,Daging sapi,2021,0.003,383.58,Low,Low
Kota Gorontalo,Gorontalo,Daging sapi,2021,0.006,615.91,Low,Low
Majene,Sulawesi Barat,Daging sapi,2021,,40.21,Unknown,Low
Polewali Mandar,Sulawesi Barat,Daging sapi,2021,0.001,89.59,Low,Low
Mamasa,Sulawesi Barat,Daging sapi,2021,0.001,111.09,Low,Low
Mamuju,Sulawesi Barat,Daging sapi,2021,0.001,99.33,Low,Low
Mamuju Utara,Sulawesi Barat,Daging sapi,2021,0.002,195.6,Low,Low
Mamuju Tengah,Sulawesi Barat,Daging sapi,2021,0.002,223.37,Low,Low
Maluku Tenggara Barat,Maluku,Daging sapi,2021,0.001,152.31,Low,Low
Maluku Tenggara,Maluku,Daging sapi,2021,,,Unknown,Unknown
Maluku Tengah,Maluku,Daging sapi,2021,0.001,104.72,Low,Low
Buru,Maluku,Daging sapi,2021,0.003,246.28,Low,Low
Kepulauan Aru,Maluku,Daging sapi,2021,0.001,137.71,Low,Low
Seram Bagian Barat,Maluku,Daging sapi,2021,,0.77,Unknown,Low
Seram Bagian Timur,Maluku,Daging sapi,2021,0.005,254.38,Low,Low
Maluku Barat Daya,Maluku,Daging sapi,2021,0.001,49.04,Low,Low
Buru Selatan,Maluku,Daging sapi,2021,0.002,152.73,Low,Low
Kota Ambon,Maluku,Daging sapi,2021,0.003,330.3,Low,Low
Kota Tual,Maluku,Daging sapi,2021,,,Unknown,Unknown
Halmahera Barat,Maluku Utara,Daging sapi,2021,0.003,317.53,Low,Low
Halmahera Tengah,Maluku Utara,Daging sapi,2021,0.001,108.46,Low,Low
Kepulauan Sula,Maluku Utara,Daging sapi,2021,,12.39,Unknown,Low
Halmahera Selatan,Maluku Utara,Daging sapi,2021,,19.14,Unknown,Low
Halmahera Utara,Maluku Utara,Daging sapi,2021,0.004,478.29,Low,Low
Halmahera Timur,Maluku Utara,Daging sapi,2021,0.005,454.24,Low,Low
Pulau Morotai,Maluku Utara,Daging sapi,2021,0.003,203.74,Low,Low
Pulau Taliabu,Maluku Utara,Daging sapi,2021,,33.09,Unknown,Low
Kota Ternate,Maluku Utara,Daging sapi,2021,0.003,322.03,Low,Low
Kota Tidore Kepulauan,Maluku Utara,Daging sapi,2021,0.001,136.56,Low,Low
Fakfak,Papua Barat,Daging sapi,2021,0.001,114.23,Low,Low
Kaimana,Papua Barat,Daging sapi,2021,0.004,421.83,Low,Low
Teluk Wondama,Papua Barat,Daging sapi,2021,,,Unknown,Unknown
Teluk Bintuni,Papua Barat,Daging sapi,2021,0.008,935.04,Low,Medium
Manokwari,Papua Barat,Daging sapi,2021,0.008,1048.31,Low,Medium
Manokwari Selatan,Papua Barat,Daging sapi,2021,0.004,530.1,Low,Low
Pegunungan Arfak,Papua Barat,Daging sapi,2021,0.001,88.31,Low,Low
Raja Ampat,Papua Barat,Daging sapi,2021,,53.72,Unknown,Low
Sorong,Papua Barat,Daging sapi,2021,0.005,647.4,Low,Medium
Sorong Selatan,Papua Barat,Daging sapi,2021,0.004,556.89,Low,Low
Maybrat,Papua Barat,Daging sapi,2021,,44.67,Unknown,Low
Tambrauw,Papua Barat,Daging sapi,2021,0.001,73.82,Low,Low
Kota Sorong,Papua Barat,Daging sapi,2021,0.005,587.12,Low,Low
Jayapura,Papua,Daging sapi,2021,0.003,533.7,Low,Low
Kepulauan Yapen,Papua,Daging sapi,2021,0.004,696.82,Low,Medium
Biak Numfor,Papua,Daging sapi,2021,0.003,311.42,Low,Low
Sarmi,Papua,Daging sapi,2021,0.004,339.05,Low,Low
Keerom,Papua,Daging sapi,2021,0.003,383.37,Low,Low
Waropen,Papua,Daging sapi,2021,0.006,646.42,Low,Medium
Supiori,Papua,Daging sapi,2021,,,Unknown,Unknown
Mamberamo Raya,Papua,Daging sapi,2021,,,Unknown,Unknown
Kota Jayapura,Papua,Daging sapi,2021,0.007,897.23,Low,Medium
Merauke,Papua,Daging sapi,2021,0.009,873.66,Medium,Medium
Boven Digoel,Papua,Daging sapi,2021,0.005,450.11,Low,Low
Mappi,Papua,Daging sapi,2021,,,Unknown,Unknown
Asmat,Papua,Daging sapi,2021,0.001,108.67,Low,Low
Mimika,Papua,Daging sapi,2021,0.006,585.78,Low,Low
Dogiyai,Papua,Daging sapi,2021,0.005,481.71,Low,Low
Deiyai,Papua,Daging sapi,2021,,,Unknown,Unknown
Nabire,Papua,Daging sapi,2021,0.011,1889.32,Medium,Medium
Paniai,Papua,Daging sapi,2021,,,Unknown,Unknown
Intan Jaya,Papua,Daging sapi,2021,,,Unknown,Unknown
Puncak,Papua,Daging sapi,2021,,36.15,Unknown,Low
Puncak Jaya,Papua,Daging sapi,2021,,,Unknown,Unknown
Nduga,Papua,Daging sapi,2021,,72.41,Unknown,Low
Jayawijaya,Papua,Daging sapi,2021,0.005,792.22,Low,Medium
Lanny Jaya,Papua,Daging sapi,2021,,,Unknown,Unknown
Tolikara,Papua,Daging sapi,2021,,,Unknown,Unknown
Mamberamo Tengah,Papua,Daging sapi,2021,,7.74,Unknown,Low
Yalimo,Papua,Daging sapi,2021,0.001,107.22,Low,Low
Yahukimo,Papua,Daging sapi,2021,,53.12,Unknown,Low
Pegunungan Bintang,Papua,Daging sapi,2021,0.002,376.67,Low,Low
Simeulue,Aceh,Daging ayam ras,2021,0.011,535.69,Medium,Low
Aceh Singkil,Aceh,Daging ayam ras,2021,0.072,2903.9,High,High
Aceh Selatan,Aceh,Daging ayam ras,2021,0.035,1040.45,Medium,Medium
Aceh Tenggara,Aceh,Daging ayam ras,2021,0.105,3228.9,High,High
Aceh Timur,Aceh,Daging ayam ras,2021,0.062,1491.11,High,Medium
Aceh Tengah,Aceh,Daging ayam ras,2021,0.091,2602.05,High,High
Aceh Barat,Aceh,Daging ayam ras,2021,0.083,2911.76,High,High
Aceh Besar,Aceh,Daging ayam ras,2021,0.059,2297.75,High,High
Pidie,Aceh,Daging ayam ras,2021,0.058,1657.9,High,Medium
Bireuen,Aceh,Daging ayam ras,2021,0.075,2143.08,High,High
Aceh Utara,Aceh,Daging ayam ras,2021,0.068,1656.6,High,Medium
Aceh Barat Daya,Aceh,Daging ayam ras,2021,0.06,1780.65,High,Medium
Gayo Lues,Aceh,Daging ayam ras,2021,0.173,6323.64,High,High
Aceh Tamiang,Aceh,Daging ayam ras,2021,0.074,1658.38,High,Medium
Nagan Raya,Aceh,Daging ayam ras,2021,0.102,3440.92,High,High
Aceh Jaya,Aceh,Daging ayam ras,2021,0.066,2080.33,High,High
Bener Meriah,Aceh,Daging ayam ras,2021,0.061,1920.54,High,High
Pidie Jaya,Aceh,Daging ayam ras,2021,0.086,1968.81,High,High
Kota Banda Aceh,Aceh,Daging ayam ras,2021,0.163,4472.16,High,High
Kota Sabang,Aceh,Daging ayam ras,2021,0.088,2787.94,High,High
Kota Langsa,Aceh,Daging ayam ras,2021,0.086,2074.48,High,High
Kota Lhokseumawe,Aceh,Daging ayam ras,2021,0.089,2696.36,High,High
Kota Subulussalam,Aceh,Daging ayam ras,2021,0.072,2397.74,High,High
Nias,Sumatera Utara,Daging ayam ras,2021,0.101,3175.72,High,High
Mandailing Natal,Sumatera Utara,Daging ayam ras,2021,0.058,2004,High,High
Tapanuli Selatan,Sumatera Utara,Daging ayam ras,2021,0.104,3660.59,High,High
Tapanuli Tengah,Sumatera Utara,Daging ayam ras,2021,0.046,1295.76,High,Medium
Tapanuli Utara,Sumatera Utara,Daging ayam ras,2021,0.06,2169.7,High,High
Toba Samosir,Sumatera Utara,Daging ayam ras,2021,0.063,2288.71,High,High
Labuhan Batu,Sumatera Utara,Daging ayam ras,2021,0.087,2595.36,High,High
Asahan,Sumatera Utara,Daging ayam ras,2021,0.097,2428.04,High,High
Simalungun,Sumatera Utara,Daging ayam ras,2021,0.098,2684.16,High,High
Dairi,Sumatera Utara,Daging ayam ras,2021,0.042,1814.01,High,Medium
Karo,Sumatera Utara,Daging ayam ras,2021,0.11,3787.66,High,High
Deli Serdang,Sumatera Utara,Daging ayam ras,2021,0.153,4062.97,High,High
Langkat,Sumatera Utara,Daging ayam ras,2021,0.079,2098.98,High,High
Nias Selatan,Sumatera Utara,Daging ayam ras,2021,0.12,3920.37,High,High
Humbang Hasundutan,Sumatera Utara,Daging ayam ras,2021,0.039,1611.04,High,Medium
Pakpak Bharat,Sumatera Utara,Daging ayam ras,2021,0.042,1619.07,High,Medium
Samosir,Sumatera Utara,Daging ayam ras,2021,0.025,981.39,Medium,Medium
Serdang Bedagai,Sumatera Utara,Daging ayam ras,2021,0.079,1980.38,High,High
Batu Bara,Sumatera Utara,Daging ayam ras,2021,0.072,1978.41,High,High
Padang Lawas Utara,Sumatera Utara,Daging ayam ras,2021,0.071,2311.9,High,High
Padang Lawas,Sumatera Utara,Daging ayam ras,2021,0.088,3000.06,High,High
Labuhan Batu Selatan,Sumatera Utara,Daging ayam ras,2021,0.111,3282.44,High,High
Labuhan Batu Utara,Sumatera Utara,Daging ayam ras,2021,0.08,2218.03,High,High
Nias Utara,Sumatera Utara,Daging ayam ras,2021,0.106,3246.16,High,High
Nias Barat,Sumatera Utara,Daging ayam ras,2021,0.075,2364.12,High,High
Kota Sibolga,Sumatera Utara,Daging ayam ras,2021,0.061,1699.33,High,Medium
Kota Tanjung Balai,Sumatera Utara,Daging ayam ras,2021,0.103,3071.72,High,High
Kota Pematang Siantar,Sumatera Utara,Daging ayam ras,2021,0.106,2832.82,High,High
Kota Tebing Tinggi,Sumatera Utara,Daging ayam ras,2021,0.144,3129.64,High,High
Kota Medan,Sumatera Utara,Daging ayam ras,2021,0.174,4893.39,High,High
Kota Binjai,Sumatera Utara,Daging ayam ras,2021,0.115,3412.03,High,High
Kota Padangsidimpuan,Sumatera Utara,Daging ayam ras,2021,0.089,2947.94,High,High
Kota Gunungsitoli,Sumatera Utara,Daging ayam ras,2021,0.109,3051.07,High,High
Kepulauan Mentawai,Sumatera Barat,Daging ayam ras,2021,0.035,1814.05,Medium,Medium
Pesisir Selatan,Sumatera Barat,Daging ayam ras,2021,0.07,2224.35,High,High
Solok,Sumatera Barat,Daging ayam ras,2021,0.144,4761.62,High,High
Sijunjung,Sumatera Barat,Daging ayam ras,2021,0.096,3809.2,High,High
Tanah Datar,Sumatera Barat,Daging ayam ras,2021,0.16,4099.19,High,High
Padang Pariaman,Sumatera Barat,Daging ayam ras,2021,0.1,3081.07,High,High
Agam,Sumatera Barat,Daging ayam ras,2021,0.118,4036.99,High,High
Lima Puluh Kota,Sumatera Barat,Daging ayam ras,2021,0.112,3161.58,High,High
Pasaman,Sumatera Barat,Daging ayam ras,2021,0.103,2886.83,High,High
Solok Selatan,Sumatera Barat,Daging ayam ras,2021,0.138,4457.12,High,High
Dharmasraya,Sumatera Barat,Daging ayam ras,2021,0.136,4439.14,High,High
Pasaman Barat,Sumatera Barat,Daging ayam ras,2021,0.101,2656.1,High,High
Kota Padang,Sumatera Barat,Daging ayam ras,2021,0.16,4494.04,High,High
Kota Solok,Sumatera Barat,Daging ayam ras,2021,0.16,5226.79,High,High
Kota Sawah Lunto,Sumatera Barat,Daging ayam ras,2021,0.206,5713.36,High,High
Kota Padang Panjang,Sumatera Barat,Daging ayam ras,2021,0.162,5139.63,High,High
Kota Bukittinggi,Sumatera Barat,Daging ayam ras,2021,0.205,6805.43,High,High
Kota Payakumbuh,Sumatera Barat,Daging ayam ras,2021,0.128,3927,High,High
Kota Pariaman,Sumatera Barat,Daging ayam ras,2021,0.141,3797.49,High,High
Kuantan Singingi,Riau,Daging ayam ras,2021,0.171,5142.88,High,High
Indragiri Hulu,Riau,Daging ayam ras,2021,0.152,4851.51,High,High
Indragiri Hilir,Riau,Daging ayam ras,2021,0.104,3698.7,High,High
Pelalawan,Riau,Daging ayam ras,2021,0.181,4889.2,High,High
Siak,Riau,Daging ayam ras,2021,0.216,6092.83,High,High
Kampar,Riau,Daging ayam ras,2021,0.21,5257.78,High,High
Rokan Hulu,Riau,Daging ayam ras,2021,0.15,4611.86,High,High
Bengkalis,Riau,Daging ayam ras,2021,0.165,4582.15,High,High
Rokan Hilir,Riau,Daging ayam ras,2021,0.122,3746.47,High,High
Kepulauan Meranti,Riau,Daging ayam ras,2021,0.096,3492.37,High,High
Kota Pekanbaru,Riau,Daging ayam ras,2021,0.213,5857.91,High,High
Kota Dumai,Riau,Daging ayam ras,2021,0.155,4295.23,High,High
Kerinci,Jambi,Daging ayam ras,2021,0.131,4637.44,High,High
Merangin,Jambi,Daging ayam ras,2021,0.134,4694.96,High,High
Sarolangun,Jambi,Daging ayam ras,2021,0.12,3910.17,High,High
Batang Hari,Jambi,Daging ayam ras,2021,0.16,4682.86,High,High
Muaro Jambi,Jambi,Daging ayam ras,2021,0.181,5251.76,High,High
Tanjung Jabung Timur,Jambi,Daging ayam ras,2021,0.122,4081.51,High,High
Tanjung Jabung Barat,Jambi,Daging ayam ras,2021,0.157,4836.42,High,High
Tebo,Jambi,Daging ayam ras,2021,0.117,3599.81,High,High
Bungo,Jambi,Daging ayam ras,2021,0.135,4012.28,High,High
Kota Jambi,Jambi,Daging ayam ras,2021,0.204,6430.16,High,High
Kota Sungai Penuh,Jambi,Daging ayam ras,2021,0.106,3873.54,High,High
Ogan Komering Ulu,Sumatera Selatan,Daging ayam ras,2021,0.109,3239.45,High,High
Ogan Komering Ilir,Sumatera Selatan,Daging ayam ras,2021,0.109,3413.54,High,High
Muara Enim,Sumatera Selatan,Daging ayam ras,2021,0.138,4067.16,High,High
Lahat,Sumatera Selatan,Daging ayam ras,2021,0.121,3403.56,High,High
Musi Rawas,Sumatera Selatan,Daging ayam ras,2021,0.101,2733.15,High,High
Musi Banyuasin,Sumatera Selatan,Daging ayam ras,2021,0.152,4736.1,High,High
Banyu Asin,Sumatera Selatan,Daging ayam ras,2021,0.155,4533.63,High,High
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging ayam ras,2021,0.077,2624.07,High,High
Ogan Komering Ulu Timur,Sumatera Selatan,Daging ayam ras,2021,0.06,1576.21,High,Medium
Ogan Ilir,Sumatera Selatan,Daging ayam ras,2021,0.109,3425.33,High,High
Empat Lawang,Sumatera Selatan,Daging ayam ras,2021,0.074,2254.74,High,High
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging ayam ras,2021,0.116,3055.22,High,High
Musi Rawas Utara,Sumatera Selatan,Daging ayam ras,2021,0.133,3968.07,High,High
Kota Palembang,Sumatera Selatan,Daging ayam ras,2021,0.184,5200.94,High,High
Kota Prabumulih,Sumatera Selatan,Daging ayam ras,2021,0.147,3754.63,High,High
Kota Pagar Alam,Sumatera Selatan,Daging ayam ras,2021,0.124,4477.35,High,High
Kota Lubuklinggau,Sumatera Selatan,Daging ayam ras,2021,0.156,4288.77,High,High
Bengkulu Selatan,Bengkulu,Daging ayam ras,2021,0.108,4518.25,High,High
Rejang Lebong,Bengkulu,Daging ayam ras,2021,0.103,3420.69,High,High
Bengkulu Utara,Bengkulu,Daging ayam ras,2021,0.103,3453.64,High,High
Kaur,Bengkulu,Daging ayam ras,2021,0.102,3727.17,High,High
Seluma,Bengkulu,Daging ayam ras,2021,0.097,3162.64,High,High
Mukomuko,Bengkulu,Daging ayam ras,2021,0.103,3537.16,High,High
Lebong,Bengkulu,Daging ayam ras,2021,0.083,2686.45,High,High
Kepahiang,Bengkulu,Daging ayam ras,2021,0.078,2840.02,High,High
Bengkulu Tengah,Bengkulu,Daging ayam ras,2021,0.133,4250.98,High,High
Kota Bengkulu,Bengkulu,Daging ayam ras,2021,0.169,5487.71,High,High
Lampung Barat,Lampung,Daging ayam ras,2021,0.054,2223.61,High,High
Tanggamus,Lampung,Daging ayam ras,2021,0.056,1672.15,High,Medium
Lampung Selatan,Lampung,Daging ayam ras,2021,0.078,2291.69,High,High
Lampung Timur,Lampung,Daging ayam ras,2021,0.065,1865.81,High,Medium
Lampung Tengah,Lampung,Daging ayam ras,2021,0.066,1891.49,High,High
Lampung Utara,Lampung,Daging ayam ras,2021,0.054,1707.08,High,Medium
Way Kanan,Lampung,Daging ayam ras,2021,0.056,1928.87,High,High
Tulangbawang,Lampung,Daging ayam ras,2021,0.056,1532.5,High,Medium
Pesawaran,Lampung,Daging ayam ras,2021,0.059,1434.54,High,Medium
Pringsewu,Lampung,Daging ayam ras,2021,0.054,1429.32,High,Medium
Mesuji,Lampung,Daging ayam ras,2021,0.053,1513.89,High,Medium
Tulang Bawang Barat,Lampung,Daging ayam ras,2021,0.069,1910.02,High,High
Pesisir Barat,Lampung,Daging ayam ras,2021,0.068,2170.2,High,High
Kota Bandar Lampung,Lampung,Daging ayam ras,2021,0.154,4594.98,High,High
Kota Metro,Lampung,Daging ayam ras,2021,0.112,3706.58,High,High
Bangka,Bangka Belitung,Daging ayam ras,2021,0.182,6625.08,High,High
Belitung,Bangka Belitung,Daging ayam ras,2021,0.177,7016.27,High,High
Bangka Barat,Bangka Belitung,Daging ayam ras,2021,0.127,4411.49,High,High
Bangka Tengah,Bangka Belitung,Daging ayam ras,2021,0.179,6681.92,High,High
Bangka Selatan,Bangka Belitung,Daging ayam ras,2021,0.165,6027.86,High,High
Belitung Timur,Bangka Belitung,Daging ayam ras,2021,0.183,7942.76,High,High
Kota Pangkal Pinang,Bangka Belitung,Daging ayam ras,2021,0.232,8375.51,High,High
Karimun,Kepulauan Riau,Daging ayam ras,2021,0.187,6231.06,High,High
Bintan,Kepulauan Riau,Daging ayam ras,2021,0.182,6018,High,High
Natuna,Kepulauan Riau,Daging ayam ras,2021,0.084,3170.07,High,High
Lingga,Kepulauan Riau,Daging ayam ras,2021,0.127,4027.72,High,High
Kepulauan Anambas,Kepulauan Riau,Daging ayam ras,2021,0.113,4460.07,High,High
Kota Batam,Kepulauan Riau,Daging ayam ras,2021,0.252,8308,High,High
Kota Tanjung Pinang,Kepulauan Riau,Daging ayam ras,2021,0.225,7943.6,High,High
Kep. Seribu,DKI Jakarta,Daging ayam ras,2021,0.13,4996.47,High,High
Kota Jakarta Selatan,DKI Jakarta,Daging ayam ras,2021,0.207,8782.07,High,High
Kota Jakarta Timur,DKI Jakarta,Daging ayam ras,2021,0.206,7660.08,High,High
Kota Jakarta Pusat,DKI Jakarta,Daging ayam ras,2021,0.21,6620.6,High,High
Kota Jakarta Barat,DKI Jakarta,Daging ayam ras,2021,0.184,6451.97,High,High
Kota Jakarta Utara,DKI Jakarta,Daging ayam ras,2021,0.175,5852,High,High
Bogor,Jawa Barat,Daging ayam ras,2021,0.149,4692.26,High,High
Sukabumi,Jawa Barat,Daging ayam ras,2021,0.171,4774.49,High,High
Cianjur,Jawa Barat,Daging ayam ras,2021,0.133,4205.75,High,High
